id,source,target,length
322,340359008,340359055,227.30871711652503
323,340359008,360329373,322.71030326456685
324,340359055,5869964452,39.73557459573785
325,340359055,340359008,227.3087171165251
326,340359055,340359079,270.19570068830694
327,340359079,5699334233,865.7942536319867
328,340359079,340359055,270.1957006883069
329,340359079,7900446337,139.70621801158734
330,340359295,5699334273,74.3532405939038
331,340359295,5831662868,152.8286409958171
332,340359295,360329553,364.83800446160075
333,340359309,5831662868,21.348072413477706
334,340359309,5831662795,182.51394086569994
335,340359309,340359315,83.46251129844589
336,340359315,5831545825,75.79634497896838
337,340359315,340359309,83.46251129844589
338,340359315,340359374,417.4150475930637
339,340359374,5831545842,68.06146748502525
340,340359374,340359381,75.07882246397207
341,340359374,340359315,417.41504759306366
342,340359381,340359374,75.07882246397207
343,340359381,340359420,329.8061035982334
344,340359381,8193987896,386.05319993869205
345,340359420,5831662806,381.069832464435
346,340359420,340359381,329.80610359823334
347,340359420,5831662886,431.8394796030748
348,340359621,5831542942,78.52152157882375
349,340359621,5831558755,228.2584035472538
350,340359621,5831670861,295.91953721471225
351,340359964,5831662993,635.9505482017961
352,340359964,4371392304,231.8470077899205
353,340359964,7598551916,434.57026912565726
354,340360340,7589709138,739.9802179898393
355,340360340,12070867684,162.84110158815187
356,340360340,7589713078,245.79750640471
357,340360718,12465332952,37.17196477235021
358,340360718,12518715581,41.81670482173142
359,340360718,3062388917,158.99581783307542
360,340361456,5232563970,90.62021612515493
361,340361456,5870061852,107.26630995584654
362,340361456,5870060727,261.16553871232486
363,340361521,5870060697,66.77877732968393
364,340361521,5870060548,41.80463505512297
365,340361521,5870060994,335.4625845779148
366,340361542,5870600555,32.98773916061996
367,340361542,5870599771,211.2108526590624
368,340361542,340355888,94.47324108092492
369,340361550,5870601019,16.661208698624133
370,340361550,340361571,378.7606078408937
371,340361550,5870600449,43.729434708980605
372,340361571,340361587,191.8917037645737
373,340361571,340361550,378.7606078408938
374,340361571,5870600997,212.84327276744733
375,340361587,5870600134,155.79290013251588
376,340361587,340356384,1252.3293126003966
377,340361587,340361571,191.89170376457372
378,340361600,5870600134,60.970267779436746
379,340361600,360338199,341.1635445193081
380,340361600,5870600997,237.18903729181278
381,340361702,12069562618,328.1358074399921
382,340361702,340361725,559.9488612244086
383,340361702,12069562617,331.41232279426066
384,340361725,340361702,559.9488612244086
385,340361725,3679114507,1123.0566680530176
386,340361725,5870600743,581.4502598704598
387,340361725,5870269485,540.3835336621507
388,340362608,340362618,195.86064643414053
389,340362608,3146443362,672.8329216766839
390,340362608,7574526592,412.2520554382377
391,340362618,3146579391,17.702599151144295
392,340362618,340362608,195.8606464341405
393,340362618,7574526592,330.1600225675117
394,340369290,5870601152,10.768961753941928
395,340369290,5232564064,8.038951198623138
396,340369290,5870600036,338.35612255415145
397,340369406,3692148041,513.9108381041984
398,345558142,5877489184,497.0557864901166
399,345558142,5864848683,83.852155035398
400,345558142,5864848962,410.4755308457978
401,345558238,5882978690,112.49863645100478
402,345558238,11555393120,289.53601812073106
403,345558238,6699754201,218.57711670593926
404,345558242,5882978690,30.08175771198882
405,345558242,5882977611,157.67003999362157
406,345558242,5882978417,52.94789094571671
407,345558274,7528092289,168.05104232806343
408,345558274,3251533870,306.8736277094846
409,345558274,4770519146,101.16900314585553
410,345558289,5286934439,16.062776433710983
411,345558289,5286934455,36.96817371560403
412,345558289,5882978533,199.11887774905784
413,360329373,360329374,17.880486350023563
414,360329373,5869964170,471.0474930688883
415,360329373,340359008,322.7103032645668
416,360329374,360329373,17.880486350023563
417,360329374,8218722289,357.19430387979264
418,360329374,5869964425,131.92706349723807
419,360329409,5869962596,241.37374324679914
420,360329409,5869963866,249.2243829088202
421,360329409,5869964425,245.73382170902758
422,360329553,360329603,80.78785771042004
423,360329553,5869963866,80.092168559446
424,360329553,340359295,364.83800446160075
425,360329603,5869962396,51.22883517501244
