u,v,key,source,target,length
290210460,5234292152,0,290210460,5234292152,38.01290451230069
290210460,8093298488,0,290210460,8093298488,296.5782306976082
290210460,9852371645,0,290210460,9852371645,153.7713477903954
306421278,5869995436,0,306421278,5869995436,53.50033609674778
306421278,306421297,0,306421278,306421297,280.91530925929567
306421278,5869994540,0,306421278,5869994540,533.2592438379606
306421297,306421278,0,306421297,306421278,280.91530925929567
306421297,5869995171,0,306421297,5869995171,337.8045935188426
306421297,5869994529,0,306421297,5869994529,363.9300285912201
306421862,5292977879,0,306421862,5292977879,1764.3029301039164
306421862,4720118794,0,306421862,4720118794,775.9295456286465
306421862,5869995438,0,306421862,5869995438,527.8745787419542
306422213,12523827354,0,306422213,12523827354,1066.42713564313
306422213,412483181,0,306422213,412483181,901.7415117622401
306422213,9843267536,0,306422213,9843267536,461.04357634400503
306422540,5870645302,0,306422540,5870645302,63.737389555886
306422540,5870405642,0,306422540,5870405642,336.0123245510215
306422540,5870405232,0,306422540,5870405232,485.7439899710257
306422618,5870405658,0,306422618,5870405658,323.9523660748199
306422618,5887353216,0,306422618,5887353216,187.76615063910046
306422618,5870405111,0,306422618,5870405111,453.6081596018171
306422654,5870405118,0,306422654,5870405118,63.682336605845464
306422654,9824058071,0,306422654,9824058071,149.65523914810026
306422654,412483033,0,306422654,412483033,506.5399023331719
306423348,412482916,0,306423348,412482916,120.26017413734057
306423348,7733795493,0,306423348,7733795493,672.5852181752168
306423348,306423380,0,306423348,306423380,259.11321090930915
306423380,5831634905,0,306423380,5831634905,548.9590087780713
306423380,306423348,0,306423380,306423348,259.11321090930915
306423380,412482911,0,306423380,412482911,319.78719466389816
306423443,5831634900,0,306423443,5831634900,465.9126745097087
306423443,412482911,0,306423443,412482911,200.97368822998746
306423443,306423449,0,306423443,306423449,304.7692251875399
306423449,306423455,0,306423449,306423455,21.569712092594898
306423449,5831634941,0,306423449,5831634941,544.7570598703624
306423449,306423443,0,306423449,306423443,304.7692251875399
306423455,306423449,0,306423455,306423449,21.569712092594898
306423455,1461434057,0,306423455,1461434057,643.9059164069957
306423455,306423461,0,306423455,306423461,97.71631382390093
306423461,2645646298,0,306423461,2645646298,996.6040740958392
306423461,306423455,0,306423461,306423455,97.71631382390093
306423461,5886523855,0,306423461,5886523855,1333.9653495646078
306423602,5831634729,0,306423602,5831634729,457.314929482381
306423602,306423616,0,306423602,306423616,131.9929376470897
306423602,2329707457,0,306423602,2329707457,420.7136831083624
